elapsed_s,elapsed_h,model_temperature,sensor_temperature,model_ext_temperature,current_temperature,target_temperature,hvac_action,hvac_mode,preset_mode,on_percent,power_percent,smartpi_a,smartpi_b,smartpi_learn_ok_count_a,smartpi_learn_ok_count_b,smartpi_learn_last_reason,smartpi_governance_regime,smartpi_phase,deadtime_heat_s,model_effective_heater_power_w,model_heating_rate_c_per_s,model_heat_loss_rate_c_per_s,model_net_heat_rate_c_per_s,model_fabric_temperature,model_solar_gain_w,model_internal_gain_w,model_fabric_to_air_flux_w,model_total_heat_loss_w,model_effective_u_value_W_per_C,model_weather_k_multiplier,model_infiltration_loss_w,model_fabric_loss_w,switch_state
1510.0,0.41944444444444445,19.292592081837455,19.293,5.0,19.3,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.0002185742512313779,0.000538047264135724,17.99,0.0,0.0,-161.4,462.0,32.32,1.0,57.2,404.8,1.0
1570.0,0.4361111111111111,19.339267415832055,19.339,5.0,19.3,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00022462702849646032,0.0005378665428714066,17.99,0.0,0.0,-167.3,462.1,32.23,1.0,57.4,404.8,1.0
1630.0,0.4527777777777778,19.385581225368927,19.386,5.0,19.4,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00023063252471357254,0.0005376871220294306,17.99,0.0,0.0,-173.1,462.3,32.14,1.0,57.5,404.8,1.0
1690.0,0.46944444444444444,19.431536334482743,19.432,5.0,19.4,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.00023659110922797822,0.0005375089914543685,17.99,0.0,0.0,-178.9,462.5,32.05,1.0,57.7,404.8,1.0
1750.0,0.4861111111111111,19.477135545147675,19.477,5.0,19.5,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"skip: a blocked (b insufficient, 0/5 b samples)",warmup,Hysteresis,30.0,1000.0,0.001,0.00024250314849972974,0.0005373321410701244,17.99,0.0,0.0,-184.6,462.7,31.96,1.0,57.9,404.8,1.0
1810.0,0.5027777777777778,19.522381637449715,19.522,5.0,19.5,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00024836900612620357,0.0005371565608793141,17.99,0.0,0.0,-190.3,462.8,31.87,1.0,58.1,404.8,1.0
1870.0,0.5194444444444445,19.567277369757665,19.567,5.0,19.6,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=6)",warmup,Hysteresis,30.0,1000.0,0.001,0.0002541890428644618,0.0005369822409626493,17.99,0.0,0.0,-195.9,463.0,31.78,1.0,58.3,404.7,1.0
1930.0,0.5361111111111111,19.611825478892786,19.612,5.0,19.6,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.0002599636166534432,0.0005368091714783287,17.99,0.0,0.0,-201.5,463.2,31.7,1.0,58.4,404.7,1.0
1990.0,0.5527777777777778,19.65602868029711,19.656,5.0,19.7,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"skip: a blocked (b insufficient, 0/5 b samples)",warmup,Hysteresis,30.0,1000.0,0.001,0.00026569308263597413,0.0005366373426614315,17.99,0.0,0.0,-207.1,463.4,31.62,1.0,58.6,404.7,1.0
2050.0,0.5694444444444444,19.69988966820046,19.7,5.0,19.7,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=6)",warmup,Hysteresis,30.0,1000.0,0.001,0.00027137779318061114,0.0005364667448233178,17.99,0.0,0.0,-212.6,463.5,31.53,1.0,58.8,404.7,1.0
2110.0,0.5861111111111111,19.743411115786152,19.743,5.0,19.7,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=6)",warmup,Hysteresis,30.0,1000.0,0.001,0.00027701809790331525,0.000536297368351032,17.99,0.0,0.0,-218.0,463.7,31.45,1.0,59.0,404.7,1.0
2170.0,0.6027777777777777,19.786595675355397,19.787,5.0,19.8,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.00028261434368895234,0.0005361292037067123,17.99,0.0,0.0,-223.5,463.9,31.37,1.0,59.1,404.7,1.0
2230.0,0.6194444444444445,19.829445978490437,19.829,5.0,19.8,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"skip: a blocked (b insufficient, 0/5 b samples)",warmup,Hysteresis,30.0,1000.0,0.001,0.00028816687471262754,0.0005359622414270034,17.99,0.0,0.0,-228.8,464.0,31.29,1.0,59.3,404.7,1.0
2290.0,0.6361111111111111,19.871964636216386,19.872,5.0,19.9,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.0002936760324608552,0.0005357964721224754,17.99,0.0,0.0,-234.2,464.2,31.21,1.0,59.5,404.7,1.0
2350.0,0.6527777777777778,19.91415423916181,19.914,5.0,19.9,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.0002991421557525593,0.0005356318864770449,17.99,0.0,0.0,-239.5,464.4,31.14,1.0,59.7,404.7,1.0
2410.0,0.6694444444444444,19.95601735771808,19.956,5.0,20.0,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.0003045655807599117,0.0005354684752474036,17.99,0.0,0.0,-244.7,464.5,31.06,1.0,59.8,404.7,1.0
2470.0,0.6861111111111111,19.99755654219743,19.998,5.0,20.0,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"skip: a blocked (b insufficient, 0/5 b samples)",warmup,Hysteresis,30.0,1000.0,0.001,0.0003099466410290084,0.0005353062292624485,17.99,0.0,0.0,-250.0,464.7,30.98,1.0,60.0,404.7,1.0
2530.0,0.7027777777777777,20.03877432298985,20.039,5.0,20.0,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=6)",warmup,Hysteresis,30.0,1000.0,0.001,0.00031528566750038504,0.0005351451394227184,17.99,0.0,0.0,-255.1,464.9,30.91,1.0,60.2,404.7,1.0
2590.0,0.7194444444444444,20.079673210718667,20.08,5.0,20.1,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=6)",warmup,Hysteresis,30.0,1000.0,0.001,0.00032058298852936934,0.0005349851966998345,17.99,0.0,0.0,-260.3,465.0,30.84,1.0,60.3,404.7,1.0
2650.0,0.7361111111111112,20.12025569639498,20.12,5.0,20.1,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.0003258389299062743,0.0005348263921359451,17.99,0.0,0.0,-265.4,465.2,30.76,1.0,60.5,404.7,1.0
2710.0,0.7527777777777778,20.160524251570877,20.161,5.0,20.2,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"skip: a blocked (b insufficient, 0/5 b samples)",warmup,Hysteresis,30.0,1000.0,0.001,0.00033105381487644035,0.0005346687168431742,17.99,0.0,0.0,-270.4,465.3,30.69,1.0,60.6,404.7,1.0
2770.0,0.7694444444444445,20.200481328491406,20.2,5.0,20.2,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=8)",warmup,Hysteresis,30.0,1000.0,0.001,0.0003362279641601092,0.0005345121620030752,17.99,0.0,0.0,-275.4,465.5,30.62,1.0,60.8,404.7,1.0
2830.0,0.7861111111111111,20.24012936024544,20.24,5.0,20.2,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=7)",warmup,Hysteresis,30.0,1000.0,0.001,0.00034136169597215647,0.0005343567188660882,17.99,0.0,0.0,-280.4,465.6,30.55,1.0,61.0,404.7,1.0
2890.0,0.8027777777777778,20.279470760915274,20.279,5.0,20.3,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.00034645532604165463,0.0005342023787510027,17.99,0.0,0.0,-285.3,465.8,30.49,1.0,61.1,404.7,1.0
2950.0,0.8194444444444444,20.31850792572514,20.319,5.0,20.3,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=6)",warmup,Hysteresis,30.0,1000.0,0.001,0.00035150916763129845,0.0005340491330444222,17.99,0.0,0.0,-290.2,466.0,30.42,1.0,61.3,404.7,1.0
3010.0,0.8361111111111111,20.357243231188495,20.357,5.0,20.4,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (low_amplitude, n=6)",warmup,Hysteresis,30.0,1000.0,0.001,0.00035652353155666823,0.0005338969732002363,17.99,0.0,0.0,-295.1,466.1,30.35,1.0,61.4,404.7,1.0
3070.0,0.8527777777777777,20.39567903525419,20.396,5.0,20.4,20.0,heating,heat,none,1.0,100.0,0.0005,0.001,0,0,"extending: slope not robust (insufficient_samples, n=2)",warmup,Hysteresis,30.0,1000.0,0.001,0.00036149872620534664,0.0005337458907390938,17.99,0.0,0.0,-299.9,466.3,30.28,1.0,61.6,404.7,1.0
